filename,filepath,collection,file_id,document_type,agency,year,subject_keywords,file_size,content_preview
Management_Advisory_Services_and_Advisory_Assistance_Services_RFI_1_11482.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Management_Advisory_Services_and_Advisory_Assistance_Services_RFI_1_11482.md,acqgate,11482,SOW,GSA,2015,"it, security, cyber, management, services, maintenance, acquisition, performance, technology, contract, quality",24359,SOURCES SOUGHT NOTICE – Request for Information Operational and Acceptance Testing Support Services (OATSS) 70T04020I9NAP6403/A00001 (Revisions in red text) I. INTRODUCTION/PURPOSE
Management_and_Advisory_Assistance_Services_ProcurementOrdering_Guide_11492.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Management_and_Advisory_Assistance_Services_ProcurementOrdering_Guide_11492.md,acqgate,11492,PWS,GSA,,"procurement, agreement, it, management, purchase, services, professional, maintenance, acquisition, performance, contract, facilities, quality",22856,MANAGEMENT & ADVISORY SERVICES  Best Practices Ordering Guide for Management & Advisory Services Under the Federal Supply Schedules 
doc_004_Policy Training Services- SOW.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/doc_004_Policy Training Services- SOW.md,acqgate,,SOW,VA,2015,"procurement, agreement, it, security, cyber, management, services, professional, acquisition, performance, technology, surveillance, contract, facilities, quality",38801,Statement of Work Policy Training *Note that this sample has been revised from the source document on the Government Point of Entry as necessary to align formatting and applicable FAR procedures.* SEC...
Acquisition_Support_Services_SOW_11475.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Acquisition_Support_Services_SOW_11475.md,acqgate,11475,SOW,GSA,,"procurement, agreement, it, security, management, purchase, services, professional, acquisition, performance, technology, contract, facilities",11053,Acquisition Support Services *Note that this sample has been revised from the source document on the Government Point of Entry as necessary to align formatting and applicable FAR procedures.* ## BACKG...
Continuous_Diagnostics_and_Mitigation_CDM_Tools_Program_Overview_11433.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Continuous_Diagnostics_and_Mitigation_CDM_Tools_Program_Overview_11433.md,acqgate,11433,RFI,GSA,2020,"it, security, cyber, management, purchase, services, maintenance, technology",4667,U.S. General Services Administration  MAS Information Technology SIN for Security Products: Continuous Diagnostics and
Integrated_Workplace_Acquisition_Centers_IWAC_COVID_Furniture_and_Services_11462.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Integrated_Workplace_Acquisition_Centers_IWAC_COVID_Furniture_and_Services_11462.md,acqgate,11462,SOW,GSA,2020,"it, management, services, professional, acquisition, contract, furniture",26397,"GSA COVID-19 Furniture Products and Services  Updated July 15, 2020 Original Release June 2, 2020"
Cloud_Computing_with_GSA_Trifold_11427.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Cloud_Computing_with_GSA_Trifold_11427.md,acqgate,11427,GSA,GSA,2019,"procurement, it, security, management, purchase, services, professional, maintenance, acquisition, performance, technology",5813,The Federal Cloud Landscape Nearly half of government agencies are actively using cloud services. More than 22 percent of national government IT budgets is spent on cloud.1 Whether
Management_Advisory_Services_and_Advisory_Assistance_Services_RFI_Template_11483.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Management_Advisory_Services_and_Advisory_Assistance_Services_RFI_Template_11483.md,acqgate,11483,RFI,GSA,,"it, management, services, acquisition, contract",2357,[INSERT RFI TITLE] [INSERT PROGRAM OFFICE] A. Description The Government in support of the [INSERT PROGRAM OFFICE] is seeking information on
Department_of_Energy_Commitment_letter_Order_of_Pref_Memo_2016_11460.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Department_of_Energy_Commitment_letter_Order_of_Pref_Memo_2016_11460.md,acqgate,11460,BPA,GSA,2016,"procurement, agreement, it, management, purchase, services, acquisition, contract",1969,"Department of Energy Washington, DC 20585 March :25, 2016  MEMORANDUM FOR H"
Software_License_Management_Service_SLMS_11423.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/Software_License_Management_Service_SLMS_11423.md,acqgate,11423,RFQ,GSA,2017,"procurement, agreement, it, security, cyber, management, services, maintenance, acquisition, performance, technology, contract",5903,U.S. General Services Administration  Software License Management Service (SLMS) A Customized Approach to Supporting Your Agency’s IT Program 
SSAs_BPA_for_IT_Support_Services_11420.md,/Users/J/Desktop/Resources/Other Templates/acqgate_markdown/SSAs_BPA_for_IT_Support_Services_11420.md,acqgate,11420,BPA,,,"services, contract, it",1165,"NOTE: PLEASE SEE HELPFUL HINTS AT END OF DOCUMENT  HELPFUL HINTS: 1. There are several references to key personnel and resumes. Remember that in a PBA, there should be very f..."
