filename,filepath,collection,file_id,document_type,agency,year,subject_keywords,file_size,content_preview
140_Laminate_Casegoods_Small_Business_Set-Aside_Source.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/140_Laminate_Casegoods_Small_Business_Set-Aside_Source.md,template,,RFI,GSA,,"procurement, agreement, it, management, purchase, acquisition, performance, contract, furniture",10896,"REQUEST FOR INFORMATION (RFI) SOURCES SOUGHT NOTICE Laminate Casegoods This is a RFI, SOURCES SOUGHT NOTICE, issued by ___________________________________seeking information from prospective vendors i..."
274_UNICOR_Limited_Source_Justification_for_Furniture.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/274_UNICOR_Limited_Source_Justification_for_Furniture.md,template,,BPA,GSA,2005,"it, purchase, services, contract, furniture, quality",5564,Buying Furniture? Read About the UNICOR Limited Source Justification Background UNICOR (Federal Prison Industries) is a mandatory source of supply for certain items similar to those on GSA Schedules. ...
101_Flame_Resistant_Jackets_SOW_GSA_2022.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/101_Flame_Resistant_Jackets_SOW_GSA_2022.md,template,2022,SOW,GSA,2022,"procurement, agreement, it, security, management, purchase, services, maintenance, acquisition, performance, technology, surveillance, contract, facilities, quality",75394,The following is a brief overview of several applicable conditions as they relate to any award placed against this RFQ. Any order(s) resulting from the subject procurement will be made in accordance w...
181_PBS_Class_Deviation_Permitting_10-year_MAS_BPAs.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/181_PBS_Class_Deviation_Permitting_10-year_MAS_BPAs.md,template,,RFQ,GSA,2020,"procurement, agreement, it, management, purchase, maintenance, services, acquisition, performance, contract, facilities",9537,DocuSign Envelope ID: 189792C2-638C-400D-931E-6F7A421CA1DC  GSA Office of Governmentwide Policy 12/2/2020 
043_Cartographic_Services_and_Electronic_Navigation_Pr.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/043_Cartographic_Services_and_Electronic_Navigation_Pr.md,template,,PWS,VA,2021,"procurement, it, services, professional, maintenance, performance, contract, facilities",4659,Sources Sought Notice SUBJECT* Carpet Cleaning Service - Orlando VA Healthcare System (OVAHCS) 3 Locations  GENERAL INFORMATION CONTRACTING OFFICE’S ZIP CODE*
114_Highly_Adaptive_Cybersecurity_Services_Ordering_Gu.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/114_Highly_Adaptive_Cybersecurity_Services_Ordering_Gu.md,template,,SOW,GSA,,"procurement, it, cyber, security, management, purchase, services, acquisition, performance, technology, contract, quality",13633,GSA/FAS/ITC IT Security Division Highly Adaptive Cybersecurity Services Ordering Guide  Highly Adaptive Cybersecurity Services (HACS) Special Item Number (SIN) 54151HACS
170_Multi-functional_Device_Management_Services_SOW_GS.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/170_Multi-functional_Device_Management_Services_SOW_GS.md,template,,SOW,GSA,2014,"procurement, agreement, it, security, management, purchase, services, maintenance, performance, surveillance, contract, facilities, quality",15365,Statement of Work –Multifunction Device (MFD) Management Services  Statement of Work  Agency XXXX
234_Shredding_Services_RFQ_DHS_2022.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/234_Shredding_Services_RFQ_DHS_2022.md,template,2022,SOW,DHS,2022,"services, it",27827,"Page 21 of 34  Attachment A • Materials must be destroyed by shredding, pulping, or pulverizing sufficient to assure destruction beyond recognition and reconstruction."
003_Acceptance_Test_and_Evaluation_Support_Services_So.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/003_Acceptance_Test_and_Evaluation_Support_Services_So.md,template,,SOW,GSA,2015,"it, security, cyber, management, services, maintenance, acquisition, performance, technology, contract, quality",24340,SOURCES SOUGHT NOTICE – Request for Information Operational and Acceptance Testing Support Services (OATSS) 70T04020I9NAP6403/A00001 (Revisions in red text) I. INTRODUCTION/PURPOSE
117_Human_Capital_and_Training_Solutions_CO_Quick_Refe.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/117_Human_Capital_and_Training_Solutions_CO_Quick_Refe.md,template,,GSA,GSA,,"procurement, agreement, it, purchase, services, acquisition, performance, contract, furniture",7161,How to Acquire Furniture through Your Reimbursable Work Authorization (RWA) Learn about the Proper Use of Your Agency’s Funds Accepted by GSA Public Buildings Service for Furniture Overview
